tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
667,6/1/2013 8:10,6/1/2013 8:21,445,E 10 St & Avenue A,40.72740794,-73.98142006,432,E 7 St & Avenue A,40.72621788,-73.98379855,20253,Customer,NULL,0
660,6/1/2013 8:10,6/1/2013 8:21,368,Carmine St & 6 Ave,40.73038599,-74.00214988,432,E 7 St & Avenue A,40.72621788,-73.98379855,19316,Customer,NULL,0
922,6/1/2013 8:11,6/1/2013 8:26,457,Broadway & W 58 St,40.76695317,-73.98169333,474,5 Ave & E 29 St,40.7451677,-73.98683077,14889,Subscriber,1965,1
475,6/1/2013 8:11,6/1/2013 8:19,285,Broadway & E 14 St,40.73454567,-73.99074142,488,W 39 St & 9 Ave,40.75645824,-73.99372222,18746,Subscriber,1981,1
3897,6/1/2013 8:11,6/1/2013 9:16,468,Broadway & W 56 St,40.7652654,-73.98192338,457,Broadway & W 58 St,40.76695317,-73.98169333,17390,Customer,NULL,0
3833,6/1/2013 8:12,6/1/2013 9:15,468,Broadway & W 56 St,40.7652654,-73.98192338,457,Broadway & W 58 St,40.76695317,-73.98169333,19076,Customer,NULL,0
481,6/1/2013 8:12,6/1/2013 8:20,324,DeKalb Ave & Hudson Ave,40.689888,-73.981013,229,Great Jones St,40.72743423,-73.99379025,16633,Customer,NULL,0
2349,6/1/2013 8:12,6/1/2013 8:51,365,Fulton St & Grand Ave,40.68223166,-73.9614583,537,Lexington Ave & E 24 St,40.74025878,-73.98409214,16175,Subscriber,1977,1
1975,6/1/2013 8:12,6/1/2013 8:45,143,Clinton St & Joralemon St,40.69239502,-73.99337909,216,Columbia Heights & Cranberry St,40.70037867,-73.99548059,18817,Subscriber,1967,1
1028,6/1/2013 8:12,6/1/2013 8:29,446,W 24 St & 7 Ave,40.74487634,-73.99529885,229,Great Jones St,40.72743423,-73.99379025,15421,Subscriber,1977,2
247,6/1/2013 8:13,6/1/2013 8:17,457,Broadway & W 58 St,40.76695317,-73.98169333,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,15154,Subscriber,1974,1
773,6/1/2013 8:13,6/1/2013 8:26,453,W 22 St & 8 Ave,40.74475148,-73.99915362,448,W 37 St & 10 Ave,40.75660359,-73.9979009,19556,Subscriber,1982,1
2308,6/1/2013 8:13,6/1/2013 8:52,361,Allen St & Hester St,40.71605866,-73.99190759,350,Clinton St & Grand St,40.71559509,-73.9870295,16650,Subscriber,1946,1
2455,6/1/2013 8:13,6/1/2013 8:54,282,Kent Ave & S 11 St,40.70764494,-73.96841526,365,Fulton St & Grand Ave,40.68223166,-73.9614583,15811,Subscriber,1974,1
1436,6/1/2013 8:13,6/1/2013 8:37,363,West Thames St,40.70834698,-74.01713445,375,Mercer St & Bleecker St S,40.72679454,-73.99695094,16947,Subscriber,1934,1
737,6/1/2013 8:14,6/1/2013 8:26,72,W 52 St & 11 Ave,40.76727216,-73.99392888,448,W 37 St & 10 Ave,40.75660359,-73.9979009,17548,Subscriber,1984,2
457,6/1/2013 8:14,6/1/2013 8:22,247,Perry St & Bleecker St,40.73535398,-74.00483091,247,Perry St & Bleecker St,40.73535398,-74.00483091,15041,Subscriber,1982,1
455,6/1/2013 8:15,6/1/2013 8:22,116,W 17 St & 8 Ave,40.74177603,-74.00149746,442,W 27 St & 7 Ave,40.746647,-73.993915,16599,Subscriber,1978,1
834,6/1/2013 8:15,6/1/2013 8:29,344,Monroe St & Bedford Ave,40.6851443,-73.95380904,314,Cadman Plaza West & Montague St,40.69383,-73.990539,17828,Subscriber,1983,2
1823,6/1/2013 8:16,6/1/2013 8:46,386,Centre St & Worth St,40.71494807,-74.00234482,522,E 51 St & Lexington Ave,40.75714758,-73.97207836,15713,Customer,NULL,0
399,6/1/2013 8:17,6/1/2013 8:24,354,Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,262,Washington Park,40.6917823,-73.9737299,18664,Subscriber,1988,1
1906,6/1/2013 8:17,6/1/2013 8:49,406,Hicks St & Montague St,40.69512845,-73.99595065,173,Broadway & W 49 St,40.76068327,-73.98452729,19905,Subscriber,1973,1
788,6/1/2013 8:18,6/1/2013 8:31,345,W 13 St & 6 Ave,40.73649403,-73.99704374,461,E 20 St & 2 Ave,40.73587678,-73.98205027,17118,Subscriber,1962,2
929,6/1/2013 8:19,6/1/2013 8:34,519,Pershing Square North,40.751873,-73.977706,2023,E 55 St & Lexington Ave,40.75968085,-73.97031366,18489,Subscriber,1968,1
508,6/1/2013 8:19,6/1/2013 8:27,482,W 15 St & 7 Ave,40.73935542,-73.99931783,509,9 Ave & W 22 St,40.7454973,-74.00197139,14574,Subscriber,1982,1
467,6/1/2013 8:19,6/1/2013 8:27,432,E 7 St & Avenue A,40.72621788,-73.98379855,412,Forsyth St & Canal St,40.7158155,-73.99422366,16338,Subscriber,1961,1
2339,6/1/2013 8:20,6/1/2013 8:58,447,8 Ave & W 52 St,40.76370739,-73.9851615,376,John St & William St,40.70862144,-74.00722156,16449,Subscriber,1957,2
2078,6/1/2013 8:20,6/1/2013 8:54,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,466,W 25 St & 6 Ave,40.74395411,-73.99144871,16923,Subscriber,1976,2
876,6/1/2013 8:20,6/1/2013 8:34,528,2 Ave & E 31 St,40.74290902,-73.97706058,521,8 Ave & W 31 St N,40.75096735,-73.99444208,18408,Subscriber,1985,2
2040,6/1/2013 8:20,6/1/2013 8:54,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,285,Broadway & E 14 St,40.73454567,-73.99074142,17100,Subscriber,1973,1
894,6/1/2013 8:21,6/1/2013 8:36,423,W 54 St & 9 Ave,40.76584941,-73.98690506,79,Franklin St & W Broadway,40.71911552,-74.00666661,16410,Subscriber,1985,1
691,6/1/2013 8:22,6/1/2013 8:33,444,Broadway & W 24 St,40.7423543,-73.98915076,488,W 39 St & 9 Ave,40.75645824,-73.99372222,15048,Subscriber,1948,1
1431,6/1/2013 8:22,6/1/2013 8:46,152,Warren St & Church St,40.71473993,-74.00910627,427,Bus Slip & State St,40.701907,-74.013942,18029,Customer,NULL,0
375,6/1/2013 8:22,6/1/2013 8:28,285,Broadway & E 14 St,40.73454567,-73.99074142,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,19908,Subscriber,1980,1
